doi,title,source,nnaa_track,pmid,journal,pub_date,abstract,nnaa_compound,ai_article_type,ai_pass,ai_rationale_zh,ai_nnaa_category,ai_synthesis_method,ai_has_pathway_or_synthesis,ai_compound,fetched_at,publication_types,ai_domain_relevant,ai_has_experiment,lit_type_zh
10.1021/acs.orglett.6c02280,Visible Light-Mediated Enantioselective Alkylation Using a Deaminative Approach: Access to Unnatural Amino Acids and Peptides.,pubmed,chemical,42467051,Organic letters,2026-Jul-17,"Unnatural amino acids (UAAs) have become essential assets in the development of peptide- and peptidomimetic-based medications to enhance target selectivity and optimize physicochemical characteristics. The creation of peptides with drug-like qualities is still difficult, despite evidence that they may control receptor and alter disease processes. Herein, we report a visible light-driven enantioselective deaminative alkylation of glycine derivatives enabled by an in situ-generated chiral copper complex. The photoactive copper catalyst mediates single-electron reduction of Katritzky salts to generate alkyl radicals, which undergo stereocontrolled C(sp3)-C(sp3) bond formation. While deamination strategies are well explored, asymmetric variants remain underdeveloped. This methodology addresses that gap, delivering high enantioselectivity across a broad substrate scope, including natural product-derived and conformationally constrained scaffolds. The protocol is further applied to the synthesis of unnatural amino acid analogues and polypeptides without a loss of enantiopurity, demonstrating its utility and robustness in asymmetric synthesis.",,research_article,true,文章明确报告以可见光驱动的铜催化不对称去氨基烷基化方法合成非天然氨基酸（UAAs）及多肽，提供了具体的合成路线、底物范围和对映选择性数据，属于NNAA化学合成核心研究。,chemical,chemical,yes,"unnatural amino acids, glycine derivatives",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/jacs.6c09696,Programming Reaction-Network Bifurcations for Selective Amino Acid Electrosynthesis.,pubmed,chemical,42463978,Journal of the American Chemical Society,2026-Jul-16,"Electrosynthesis of organic amino acids from inorganic nitrogen feedstocks offers a new route to expand the synthetic boundaries of biologically relevant C-N molecules. However, the desired organic C-N coupling pathway is kinetically suppressed by the competing inorganic ammonia (NH3) pathway, rendering selective amino acid electrosynthesis intrinsically challenging. Here, we uncover that this bottleneck originates from the uncontrollable gatekeeping intermediate, hydroxylamine (*NH2OH), at the decisive branching point. To address this challenge, we develop a new programmable reaction-network bifurcation (PRNB) strategy, enabled by an atomically precise dual-site metallene, which directs the reaction bifurcation of *NH2OH from hydrogenation to C-N coupling. As a result, the system reverses the product selectivity, allowing the coupling product to outperform NH3 by a factor of 28.5. This shift further achieves glycine synthesis with a high Faradaic efficiency of 83.2% and a formation rate exceeding 885 mmol/gcat/h, sustained over 225 h and enabling gram-scale synthesis. Mechanistic studies reveal that dual sites reprogram the relative bonding preference of *NH2OH, making C-N coupling dominant for oxime formation. In situ spectroscopy and kinetic isotope measurements further reveal that dual sites reorganize an ordered interfacial H2O network that lowers the hydrogen-transfer barrier by more than half, enabling rapid oxime hydrogenation and high-rate glycine production. The efficient synthesis of diverse amino acids, including alanine, glutamate, and leucine, further underscores PRNB as a general paradigm for controlling reaction-network bifurcations in complex chemical synthesis.",,research_article,true,"本文报告了从无机氮源电化学合成甘氨酸、丙氨酸、谷氨酸、亮氨酸等氨基酸的新方法，虽然甘氨酸等为天然氨基酸，但该电合成平台明确扩展至多种氨基酸的高效制备（法拉第效率83.2%，克级合成），且作为通用氨基酸电合成方法学报道，具有NNAA合成的潜在通用性；然而核心产物均为标准天然氨基酸（glycine, alanine, glutamate, leucine），按规则应排除。",neither,chemical,yes,,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.orglett.6c02331,Total Synthesis and Structural Revision of Bonnevillamides B and C.,pubmed,chemical,42424514,Organic letters,2026-Jul-09,"The stereoselective synthesis of the unusual amino acid 5-methyl-4-hydroxyproline (MeHyPro) and its incorporation into the first synthesized bonnevillamides show that the originally assigned (2S,4S,5R) configuration of this amino acid is not correct and must be changed to (2S,4R,5S).",,research_article,true,文章明确报告了非天然氨基酸5-甲基-4-羟基脯氨酸（MeHyPro）的立体选择性合成，并通过将其并入bonnevillamides完成结构修正，属于NNAA化学合成核心研究。,chemical,chemical,yes,"5-methyl-4-hydroxyproline, MeHyPro",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.3390/molecules31122087,"Decarboxylative-Allylation of Pyroglutamic Acid Derivatives: Stereocontrolled Access to Acyclic and Conformationally Restricted α,γ-Disubstituted γ-Amino Acids.",pubmed,chemical,42357485,"Molecules (Basel, Switzerland)",2026-Jun-14,"The synthetic strategy relies on the highly diastereoselective alkylation at the C4 position of L-pyroglutamic acid derivatives, followed by a decarboxylation-allylation process that enables the incorporation of diverse substituents, including aromatic substituents, affording trans-3,5-disubstituted γ-lactams with excellent diastereiosmeric ratio (dr > 98:2). The resulting γ-lactams were efficiently transformed into a series of α,γ-disubstituted γ-amino acids through hydrogenation and acidic hydrolysis. Furthermore, cross-metathesis reactions with styrene and 1-decene enabled the introduction of structurally diverse lipophilic side chains, furnishing the corresponding γ-amino acids in good overall yields (71-77%) and high diastereoisomeric ratio from >98:2 to 92:8. In addition, N-allylation followed by ring-closing metathesis and hydrogenation provided access to a previously unexplored conformationally constrained γ-amino acid. Overall, seven α,γ-disubstituted γ-amino acids, including fluorinated and conformationally restricted derivatives, were synthesized from common intermediates with high stereocontrol. The developed methodology offers a versatile platform for the preparation of structurally diverse and underexplored γ-amino acid building blocks of potential interest in peptide synthesis, medicinal chemistry, and antimicrobial agent development.",,research_article,true,"报道了以L-吡咯烷酮羧酸为起始物，经高立体选择性烷基化、脱羧烯丙基化等步骤合成多种α,γ-二取代γ-氨基酸（包括氟代和构象受限衍生物），属于非天然γ-氨基酸的化学合成。",chemical,chemical,yes,"alpha,gamma-disubstituted gamma-amino acids, fluorinated gamma-amino acid, conformationally restricted gamma-amino acid",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/jacs.6c06625,"Discovery, Genome-Guided Structure Elucidation, and Total Synthesis of Terukufazoline A, a Macrocyclic Docosapeptide, from a Marine Cyanobacterium.",pubmed,chemical,42313166,Journal of the American Chemical Society,2026-Jul-01,"The structure elucidation of large molecules remains a central challenge in natural products chemistry. This challenge has been addressed through spectroscopic methods as well as degradative and synthetic approaches, which have provided effective solutions. Recent advances in genome analysis have enabled an orthogonal approach to structure elucidation based on biosynthetic gene information. In this study, we report the structure elucidation of an unprecedentedly large cyanobactin, terukufazoline A (1), through integration of spectroscopic analysis, metagenome-guided biosynthetic information, chemical degradation, and total synthesis. Terukufazolines A (1) and B (2) were discovered from an undescribed marine cyanobacterium, and the intractable NMR and tandem MS data for 1 prompted us to incorporate biosynthetic gene information. Metagenomic analysis identified the cyanobactin biosynthetic gene cluster, whose core peptide sequence enabled the assignment of the amino acid sequence of 1. The absolute configuration was established by degradation-based analyses, and the proposed structures were verified by convergent total syntheses of 1 and 2.",,research_article,true,本文报告了大环二十二肽天然产物terukufazoline A的全合成，该化合物含有非天然氨基酸残基（cyanobactin类），通过全合成验证结构，包含完整的氨基酸序列组装和合成路线，属于含NNAA的多肽全合成研究。,chemical,chemical,yes,"terukufazoline A, terukufazoline B",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1002/chir.70115,Practical Enantioselective Approach to 3-Amino-2-Hydroxy Acids and Application to the Synthesis of Natural Products.,pubmed,chemical,42310874,Chirality,2026-Jul,"A practical approach to optically active erythro 3-amino-2-hydroxy acids has been developed and applied to the enantioselective synthesis of 3-phenylisoserine and naturally occurring 3-amino-2-hydroxy-6-methylheptanoic acid (AHMHA), a nonproteinogenic amino acid found in the marine cyclic oligopeptide perthamide C. The proposed synthetic methodology requires the enantioselective Sharpless syn-dihydroxylation of (E)-α,β-unsaturated esters followed by regioselective and stereoselective Mitsunobu azidation on the β-hydroxy group. Subsequent azide hydrogenation and ester hydrolysis provide the desired erythro 3-amino-2-hydroxy acids in high enantiopurity and overall yield. The proposed approach to AHMHA was more efficient and direct compared to the one previously reported in the literature. The absolute configuration of the diol precursor of AHMHA was assigned by ECD analysis of its biphenyl dioxolane, thereby also confirming the absolute configuration of the natural AHMHA.",,research_article,true,报道3-氨基-2-羟基酸（如AHMHA）的不对称合成，AHMHA为海洋环肽中的非蛋白源氨基酸，采用Sharpless双羟化-Mitsunobu叠氮化策略，属NNAA化学合成。,chemical,chemical,yes,"3-amino-2-hydroxy-6-methylheptanoic acid, 3-phenylisoserine",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.joc.6c00903,Practical Catalytic Asymmetric Synthesis of Gem-Dimethyl Bicyclic [3.1.0] Proline: A Valuable Building Block for Antiviral Agents.,pubmed,chemical,42295251,The Journal of organic chemistry,2026-Jun-26,"We report a practical catalytic asymmetric synthesis of gem-dimethyl bicyclic [3.1.0] proline, a valuable noncanonical amino acid scaffold widely found in antiviral protease inhibitors. The strategy features a catalytic enantioselective bromocyclization (95% ee) followed by a substrate-controlled, diastereoselective dibromocyclopropanation (trans only). This approach avoids both chiral resolution and cyanide-based transformations, delivering the target in 11% overall yield over nine steps. The concise and scalable nature of this route provides efficient access to this pharmaceutically relevant building block.",,research_article,true,文章报告了gem-二甲基双环[3.1.0]脯氨酸（一种非天然氨基酸骨架）的实用催化不对称全合成路线，包含9步反应、11%总收率及95% ee值等具体合成参数，符合NNAA化学合成核心贡献要求。,chemical,chemical,yes,gem-dimethyl bicyclic [3.1.0] proline,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.64898/2026.05.29.728772,Simple synthesis and functionalisation of α-hydroxyglycine-containing peptide fragments.,pubmed,chemical,42282783,bioRxiv : the preprint server for biology,2026-Jun-02,We report here a method for the chemical synthesis of Fmoc-protected α-hydroxyglyine (α-OH-Gly) dipeptides. Our method features operational simplicity and is compatible with protecting groups for peptide synthesis. Utility is then demonstrated through substitution at the α-OH-Gly position to yield myriad non-natural amino acid-containing dipeptide fragments.,,research_article,true,报道α-羟基甘氨酸（α-OH-Gly）二肽的化学合成，并用于制备多种含非天然氨基酸的片段。,chemical,chemical,yes,alpha-hydroxyglycine,2026-07-23 18:45:34,Journal Article; Preprint,true,yes,研究论文
10.1002/chir.70098,Asymmetric Synthesis and Antibacterial Evaluation of β-Substituted (S)-α-Alanine Analogs Containing a Piperazine Moiety in the Side Chain.,pubmed,chemical,41942140,Chirality,2026,"A series of novel enantiomerically enriched α-amino acids containing piperazine fragments were synthesized via nucleophilic addition of piperazine derivatives (2a-d) to the C = C bond of a square-planar Ni (II) complex of the Schiff base derived from dehydroalanine and the chiral auxiliary (S)-BPB (1). The reactions proceeded under basic catalysis and were thermodynamically controlled, affording the major (S,S)-diastereomers with high diastereomeric excess (88%-92%). Acid hydrolysis of the diastereomeric Ni (II) complexes, followed by ion-exchange purification and crystallization, yielded the corresponding α-amino acids (4a-d) with high enantiomeric purities (ee 95%-99%). The chiral auxiliary (S)-BPB was recovered in > 96% yield without loss of enantiomeric purity, demonstrating the method's efficiency and sustainability. The antibacterial activity of the synthesized α-amino acids (4a-d) was evaluated against selected Gram-positive and Gram-negative bacterial strains, including Pseudomonas fluorescens 9150, Escherichia coli DH5α, and Staphylococcus aureus MDC 5233, using the standard microdilution method. All tested compounds exhibited moderate antibacterial activity, with MIC values of approximately 5 mM against E. coli and S. aureus. Notably, compounds 4c and 4d demonstrated significantly enhanced activity against P. fluorescens 9150, with MIC values of 0.675 mM (corresponding to ~ 0.144 and ~ 0.168 mg/mL, respectively). These results indicate that structural modification of piperazine-containing α-amino acids can significantly influence their antibacterial properties and highlight this scaffold as a promising platform for the development of new antimicrobial agents.",,research_article,true,合成含哌嗪侧链的(S)-α-丙氨酸类似物，属非天然α-氨基酸，采用Ni(II)配合物不对称加成法，ee达95-99%，报告完整化学合成路线。,chemical,chemical,yes,piperazine-containing α-alanine analogs,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/jacs.6c03032,Chiral Pyridoxals Enabled Efficient Enantioselective Synthesis of α-Substituted Tryptophan Derivatives.,pubmed,chemical,41937662,Journal of the American Chemical Society,2026-Apr-15,"Tryptophan derivatives represent privileged molecular architectures in chemical biology and medicinal chemistry. Although extensive efforts have been devoted to their diversification, tryptophan analogues bearing an α-quaternary stereogenic center are highly bioactive yet synthetically challenging subclass. The direct and modular union of an indole-based electrophilic template with an N-unprotected amino acid nucleophile would provide an exceptionally efficient approach to such α-quaternary tryptophan derivatives. Here we report an axially chiral pyridoxal-catalyzed, enantioselective conjugate addition that forges the key C-C bond between indolenyl vinylogous imino electrophiles and N-unprotected α-substituted glycine esters. Under mild conditions, this organocatalytic protocol delivers structurally diverse α-quaternary tryptophan derivatives in up to 94% yield and 99% ee, and exhibits broad tolerance toward indole ring substitution as well as α-alkyl substituted glycinates. This carbonyl catalysis strategy establishes a modular and efficient platform for accessing α-quaternary tryptophan derivatives, underscoring the unique capability of carbonyl catalysis in the synthesis of structurally complex chiral amine compounds.",,research_article,true,本文报告了手性吡哆醛催化的不对称共轭加成反应，用于高效合成含α-季碳手性中心的α-取代色氨酸衍生物（NNAA），收率高达94%、ee值99%，属于NNAA化学合成路线的核心报道。,chemical,chemical,yes,"α-quaternary tryptophan derivatives, α-substituted tryptophan",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
